order_number,order_id,order_date,product_id,sales,quantity,discount,profit
9994,CA-2017-143259,2017-12-30,FUR-BO-10003441,323.136,4,0.2,12.1176
9993,CA-2017-143259,2017-12-30,TEC-PH-10004774,90.93,7,0.0,2.7279
9992,CA-2017-115427,2017-12-30,OFF-BI-10002103,13.904,2,0.2,4.5188
9991,CA-2017-115427,2017-12-30,OFF-BI-10004632,20.72,2,0.2,6.475
9990,CA-2017-126221,2017-12-30,OFF-AP-10002457,209.3,2,0.0,56.511
9989,CA-2017-143259,2017-12-30,OFF-BI-10003684,52.776,3,0.2,19.791
9988,CA-2017-156720,2017-12-30,OFF-FA-10003472,3.024,3,0.2,-0.6048
9987,US-2017-158526,2017-12-29,OFF-AR-10003696,34.58,1,0.0,10.0282
9986,CA-2017-158673,2017-12-29,OFF-PA-10000994,209.7,2,0.0,100.656
9985,CA-2017-118885,2017-12-29,FUR-CH-10002880,393.568,4,0.2,-44.2764
9984,CA-2017-118885,2017-12-29,TEC-PH-10002563,302.376,3,0.2,22.6782
9983,US-2017-158526,2017-12-29,FUR-CH-10004495,300.98,1,0.0,87.2842
9982,CA-2017-146626,2017-12-29,FUR-FU-10002501,101.12,8,0.0,37.4144
9981,CA-2017-130631,2017-12-29,FUR-FU-10004093,68.46,2,0.0,20.538
9980,US-2017-158526,2017-12-29,FUR-CH-10002602,1207.84,8,0.0,314.0384
9979,CA-2017-130631,2017-12-29,OFF-FA-10000089,19.6,5,0.0,9.604
9978,US-2017-158526,2017-12-29,FUR-CH-10001270,258.75,3,0.0,77.625
9977,US-2017-102638,2017-12-29,OFF-FA-10002988,6.03,3,0.0,2.9547
9976,US-2017-158526,2017-12-29,OFF-BI-10002414,12.53,1,0.0,5.8891
9975,CA-2017-122798,2017-12-28,OFF-ST-10003058,118.25,5,0.0,34.2925
9974,CA-2017-127516,2017-12-28,OFF-ST-10000736,64.784,1,0.2,-12.9568
9973,CA-2017-122798,2017-12-28,OFF-PA-10004239,4.28,1,0.0,1.926
9972,CA-2017-129805,2017-12-28,FUR-FU-10001935,7.4,2,0.0,3.034
9971,CA-2017-136539,2017-12-28,FUR-BO-10004709,78.8528,2,0.32,-11.596
9970,CA-2017-136539,2017-12-28,OFF-AR-10001958,27.168,2,0.2,2.7168
