order_number,order_id,ship_date,ship_mode,address_id
9994,CA-2017-143259,2018-01-03,Standard Class,ADD-00053
9993,CA-2017-143259,2018-01-03,Standard Class,ADD-00053
9992,CA-2017-115427,2018-01-03,Standard Class,ADD-00586
9991,CA-2017-115427,2018-01-03,Standard Class,ADD-00586
9990,CA-2017-126221,2018-01-05,Standard Class,ADD-00253
9989,CA-2017-143259,2018-01-03,Standard Class,ADD-00053
9988,CA-2017-156720,2018-01-03,Standard Class,ADD-00469
9987,US-2017-158526,2018-01-01,Second Class,ADD-00211
9986,CA-2017-158673,2018-01-04,Standard Class,ADD-00280
9985,CA-2017-118885,2018-01-02,Standard Class,ADD-00520
9984,CA-2017-118885,2018-01-02,Standard Class,ADD-00520
9983,US-2017-158526,2018-01-01,Second Class,ADD-00211
9982,CA-2017-146626,2018-01-05,Standard Class,ADD-00565
9981,CA-2017-130631,2018-01-02,Standard Class,ADD-00616
9980,US-2017-158526,2018-01-01,Second Class,ADD-00211
9979,CA-2017-130631,2018-01-02,Standard Class,ADD-00616
9978,US-2017-158526,2018-01-01,Second Class,ADD-00211
9977,US-2017-102638,2017-12-31,First Class,ADD-00056
9976,US-2017-158526,2018-01-01,Second Class,ADD-00211
9975,CA-2017-122798,2018-01-01,Standard Class,ADD-00503
9974,CA-2017-127516,2018-01-03,Standard Class,ADD-00198
9973,CA-2017-122798,2018-01-01,Standard Class,ADD-00503
9972,CA-2017-129805,2018-01-02,Standard Class,ADD-00621
9971,CA-2017-136539,2018-01-01,Standard Class,ADD-00449
9970,CA-2017-136539,2018-01-01,Standard Class,ADD-00449
9969,CA-2017-135111,2018-01-02,Standard Class,ADD-00318
9968,CA-2017-135111,2018-01-02,Standard Class,ADD-00318
9967,CA-2017-163979,2018-01-02,Second Class,ADD-00579
9966,CA-2017-164826,2018-01-04,Standard Class,ADD-00055
9965,US-2017-162068,2017-12-31,Second Class,ADD-00469
9964,CA-2017-101322,2017-12-31,First Class,ADD-00528
9963,CA-2017-163860,2018-01-01,Standard Class,ADD-00352
9962,CA-2017-163860,2018-01-01,Standard Class,ADD-00352
9961,CA-2017-164826,2018-01-04,Standard Class,ADD-00055
9960,CA-2017-164826,2018-01-04,Standard Class,ADD-00055
9959,CA-2017-163860,2018-01-01,Standard Class,ADD-00352
9958,CA-2017-163860,2018-01-01,Standard Class,ADD-00352
9957,CA-2017-164826,2018-01-04,Standard Class,ADD-00055
9956,CA-2017-134404,2017-12-27,Same Day,ADD-00220
9955,CA-2017-134404,2017-12-27,Same Day,ADD-00220
9954,US-2017-106705,2018-01-01,Standard Class,ADD-00288
9953,CA-2017-121741,2017-12-26,Same Day,ADD-00373
9952,CA-2017-112487,2017-12-30,Standard Class,ADD-00223
9951,CA-2017-136238,2018-01-01,Standard Class,ADD-00455
9950,CA-2017-162880,2017-12-29,Standard Class,ADD-00625
9949,CA-2017-134194,2018-01-01,Standard Class,ADD-00408
9948,CA-2017-134194,2018-01-01,Standard Class,ADD-00408
9947,CA-2017-134194,2018-01-01,Standard Class,ADD-00408
9946,CA-2017-134194,2018-01-01,Standard Class,ADD-00408
9945,CA-2017-134194,2018-01-01,Standard Class,ADD-00408
9944,CA-2017-114055,2017-12-29,Second Class,ADD-00188
9943,CA-2017-108756,2017-12-29,Standard Class,ADD-00037
9942,US-2017-147669,2017-12-30,Standard Class,ADD-00238
9941,CA-2017-163510,2017-12-28,Second Class,ADD-00211
9940,CA-2017-146780,2017-12-30,Standard Class,ADD-00056
9939,CA-2017-121398,2017-12-29,Standard Class,ADD-00516
9938,CA-2017-163510,2017-12-28,Second Class,ADD-00211
9937,CA-2017-121398,2017-12-29,Standard Class,ADD-00516
9936,US-2017-147669,2017-12-30,Standard Class,ADD-00238
9935,CA-2017-114055,2017-12-29,Second Class,ADD-00188
9934,CA-2017-114055,2017-12-29,Second Class,ADD-00188
9933,US-2017-147669,2017-12-30,Standard Class,ADD-00238
9932,US-2017-147669,2017-12-30,Standard Class,ADD-00238
9931,CA-2017-105620,2017-12-28,First Class,ADD-00158
9930,CA-2017-114055,2017-12-29,Second Class,ADD-00188
9929,CA-2017-161480,2017-12-29,Standard Class,ADD-00056
9928,CA-2017-105620,2017-12-28,First Class,ADD-00158
9927,CA-2017-169978,2017-12-28,Standard Class,ADD-00063
9926,CA-2017-163671,2017-12-30,Standard Class,ADD-00478
9925,CA-2017-117933,2017-12-29,Standard Class,ADD-00055
9924,CA-2017-128734,2017-12-31,Standard Class,ADD-00492
9923,CA-2017-154935,2017-12-29,Standard Class,ADD-00055
9922,CA-2017-145219,2017-12-25,First Class,ADD-00520
9921,CA-2017-145219,2017-12-25,First Class,ADD-00520
9920,CA-2017-169411,2017-12-29,Standard Class,ADD-00072
9919,CA-2017-121195,2017-12-27,First Class,ADD-00412
9918,CA-2017-124296,2017-12-28,Standard Class,ADD-00378
9917,CA-2017-124296,2017-12-28,Standard Class,ADD-00378
9916,CA-2017-148355,2017-12-28,Standard Class,ADD-00014
9915,CA-2017-148355,2017-12-28,Standard Class,ADD-00014
